,puntuacion_imdb , direccion , guion , argumento , duracion , titulo, anio
21,8.1,Richard E. Doherty,-,"The story of Ed, a lonely man looking for love, and the 4-part harmonic chorus that terrorizes him.",14,my chorus,2000
22,6.5,Carla Drago,Carla Drago,"When talking about the dangers of dust, Wayne tells Christine he's missing pairs of underwear. Christine remembers that friend Lisa likes those. Wayne demands them back from Lisa, but she refuses and threatens him with a needle.",9,above the dust level,2000
23,5.8,"['William Sherak', 'Jason Shuman']",-,-,11,spoof! an insider's guide to short film success,2000
24,-,Nicholas Jacobs,Scott Greenwood,-,-,"marisa, where art thou?",2000
25,7.6,Jono Oliver,Jono Oliver,-,15,the window,2000
26,7.8,Jason Reitman,Jason Reitman,"A speeding truck sends Robert into purgatory, with the probability of a warm climate. He escapes to Earth and tries to fix things before purgatory catches up with him.",17,in god we trust,2000
27,6.9,Paul Bock,Paul Bock,"The story is about Mike and his girlfriend's teenager sister, Tabitha - Nobody ever said that romance should be perfect.",26,little sister,2000
28,-,Rebecca Scaife,Rebecca Scaife,-,-,what you lookin' at,2000
29,7.8,Jonathan Bekemeier,Greg Roman,"Greg Roman performs eight numbers as Titler, a cross-dressing man with a woman's figure and the hair and mustache of the Fuhrer's. His dress is sleeveless: his muscular arms add to the effect. Most are familiar tunes with Titler's own lyrics: ""Matchmaker, Matchmaker"" becomes a song about performers of fellatio and cunnilingus. The lyrics are camp, and some have gay an... Leer todo",6,titler,2000
30,5.5,Monika Mitchell,"['Monika Mitchell', 'Alice Stone']","In the narrative short film Night Deposit, Clare, a mysterious young woman earns a lucrative income as a serial seducer of men.",9,night deposit,2000
31,7.4,Andy Berman,Andy Berman,The story of two men who played Oompa Loompas in the original Willy Wonka and the Chocolate Factory movie.,17,bit players,2000
32,-,Eugene Williams,-,"An African American girl (Traci) goes shopping in downtown LA, she misses her Bus, while waiting for next bus She is chased by two Brotha'ssshe thought would rob her..They chase her thru the LA streets, She finds herself trapped at a Dead end st. Scared to death, pleading to them not to harm her, they politely ask ..""Gurrl where did you get that outfit...its Divine "" ... Leer todo",8,the bus stop,2000
33,6.0,Kunihiko Yuyama,"['Hideki Sonoda', 'Satoshi Tajiri']","Pikachu ends up going on a crazy adventure with some troublesome, but fun Pichu brothers.",21,poketto monsutâ: pichû to pikachû,2000
34,7.9,José Miguel Ribeiro,"['Virgílio Almeida', 'Gonçalo Galvão Teles', 'Levina Valentim']","The ""Train Killer"" is on the loose; and a young traveller on a train ride growingly begins to suspect that the actual murderer is amongst the other 3 occupants of his cabin. (Language: Portuguese (Portugal; Duration: 24.39 minutes)",25,a suspeita,2000
35,6.2,Chris Nolan,"['Chris Nolan', 'Laurie Nolan']","Self Storage is a true-to-life comedy about a completely unique, unknown, hidden world. Down these endless halls, behind these bolted doors, there are more than just lockers full of forgotten stuff. There are forgotten people living, working and struggling to survive: Many homeless, elderly, druggies, immigrant families, divorcees, latch key children, transvestites, g... Leer todo",-,self storage,2000
36,6.7,Todd Portugal,Steve Oedekerk,A parody story about the sinking of the unsinkable ship,26,thumbtanic,2000
37,6.7,"['Adrian Garcia Bogliano', 'Ramiro García Bogliano', 'Jorge Molina']","['Adrian Garcia Bogliano', 'Ramiro García Bogliano', 'Jorge Molina']",Three stories about men and women in terminal situations.,35,dolman 2000,2000
38,7.9,Don Hertzfeldt,Don Hertzfeldt,A hilarious collection of animated television commercials that were rejected because of their creator's failing grip on sanity.,9,rejected,2000
39,7.5,Michael Dow,Chandler Evans,-,15,kid quick,2000
40,-,Ayanna Maharry,Ayanna Maharry,A hard-working physician has all but given up on romance until her best friend sets her up on a blind date.,26,he's the one,2000
41,6.9,Steve Herold,Steve Herold,The Dude's plan to drink himself to death is interrupted by an unlikely Guardian Angel.,10,h.r. pukenshette,2000
42,7.6,Maarit Lalli,Leo Viirret,Finland countryside. A father and a son.,20,kovat miehet,2000
43,6.2,Felix Gönnert,-,"A fly lands on a table to drink some spilled liquid; spotting an open children's book, it flies over and tries to emulate the picture of an elephant balancing on its trunk.",3,bsss,2000
44,7.4,Marcus Moore,Marcus Moore,A moronic 1950's superhero fights against the Red Menace where ever he thinks he finds it.,-,hoverboy,2000
45,-,Karen Remy O'Toole,Karen Remy O'Toole,-,-,where's charlie?,2000
46,6.2,Iiro Küttner,Iiro Küttner,-,6,yksityisetsivän tytär,2000
47,6.7,Larry Greenberg,Larry Greenberg,-,16,"men named milo, women named greta",2000
48,6.6,Ajay Sahgal,Ajay Sahgal,"After croaking in his backyard, Ray is ushered into the offices of the afterlife where it is discovered that pertinent information to gain entrance into heaven is ""incomplete."" So Ray is taken into an all-white interrogation room where he is questioned about his life, particularly his romantic relationships, by a series of people who have famous last names (Brezhnev, ... Leer todo",38,it's a shame about ray,2000
49,7.1,"['Chris La', 'Mont']","['Scott Anderson', 'Chris La', 'Mont', 'Golan Ramraz']",A parody of Fight Club in which the first rule is you don't talk about film club.,5,film club,2000
50,6.5,Bruce Marchfelder,Bruce Marchfelder,Michael Shanks plays the very silent and controversial artist who is tired of having his works criticized by people who knows better. He decides to take matter in his own hand and give them a lesson.,9,the artist's circle,2000
51,7.0,Rolf Gibbs,-,"This short but lyrical piece of cinema can be described as a thriller, a horror film, a comedy, a religious epic, a tragedy, an action flick, or as a Motion Poem about 30,000 feet.",5,g.,2000
52,5.7,Brian Dannelly,"['Brian Dannelly', 'Mike Million']",Sixteen year old Ryan Walker struggles to find his gay identity guided by the spirit of his dead grandmother.,-,he bop,2000
53,-,Andy Mackenzie,Andy Mackenzie,-,-,last mistake,2000
54,6.0,Rae Dawn Chong,Rae Dawn Chong,"A horror comedy that spoofs the narcissistic film director whose delusional vision of her badly written three page treatment (a direct ripoff of The Blair Witch Project), pages she feels are enough to make a complete movie. The director immediately loses its star (Donna Mills) and has to step into the female lead role herself. Not an actor, a beauty, or even a very go... Leer todo",25,cursed part 3,2000
55,7.5,"['Zoltán Kálmánczhelyi', 'Angéla Stefanovics', 'Zsolt Végh']","['Zsolt Végh', 'Angéla Stefanovics', 'Zoltán Kálmánczhelyi']","God accidentally drops the key to the gates of Heaven to Earth, and is forced to make a terrestrial excursion to retrieve it.",22,uristen@menny.hu,2000
56,4.1,Andrew Van Slee,Andrew Van Slee,An 18 year old decides to tape her first time and keep it for a keep sake.,10,the last american virgin,2000
57,7.7,"['Michael Horowitz', 'Gareth Smith']",Michael Horowitz,"Alison buys a used car without consulting any men, including her boyfriend Bob and their friend Warren. On the dash is a switch marked ""Gravity."" Bob flips the switch, and all gravity, at least in L.A., disappears. They begin to float. Warren thinks about his girlfriend Laura who's over at the mall and may be in trouble. He grabs a fire extinguisher that's floating by... Leer todo",12,this guy is falling,2000
58,6.5,Darren Walsh,"['Mike Cooper', 'Ian Dagger', 'Darren Walsh']",Kid's arm bone is sticking out and the dog is trying to pull it out!,1,bone,2000
59,6.7,Emma de Caunes,"['Emma de Caunes', 'Jacques Dor']",the whimsical and enchanted world of a little boy who loves flies,6,le nombril de l'univers,2000
60,7.4,Shawn Schepps,Shawn Schepps,"In unconventional, high-pressure situations, unpredictable things come up. Mikey and Jay, friends since childhood, are robbing a flat when the owner surprises them: Mikey shoots him dead. The dead man's wife comes home, so the men hide in the bedroom closet with the body. As she relaxes on the bed just a few feet away, makes a phone call, and then entertains a lover, ... Leer todo",8,the closet,2000
61,8.0,Ralph Eggleston,Ralph Eggleston,-,3,for the birds,2000
62,-,Ron Johnson,Ron Johnson,"A mocumentary created in the spirit of ""Spinal Tap"" concerning the rise of karaoke singer Nick Sabonas from local taverns to arena concert tours.",11,karaoke king,2000
63,6.1,Philippe Barassat,Philippe Barassat,"Miss Jacobonot, a schoolteacher, has a crush on Jimmy, a student in her class. Jimmy loves to tell stories. But his teachers kick him out of school and sent him to an institute for unsuitable children.",-,les éléphants de la planète mars,2000
64,-,"['Royce Allen Dudley', 'Vanessa Marsot']",Vanessa Marsot,-,12,dinner for two,2000
65,7.9,"['John L. Vennema', 'Paul Ziemba']","['Emily Earthman', 'Salvo Lavis', 'John L. Vennema']",Follow student filmmaker Brian Wilton as he experiences the hilarious ups and downs of guerrilla filmmaking.,35,"lights, camera, war!",2000
66,7.0,Chris Bell,Chris Bell,A 12-year-old boy becomes addicted to smoking.,-,billy jones,2000
67,5.8,Patricia Chica,"['Patricia Chica', 'Annie Poitras']","""The Promise (La Promesse)"" is an urban romantic comedy that recounts 24 hours in the life of Victoria, an aspiring young singer who works as a bike courier in downtown Montreal. It is the eve of the new millennium, and Victoria celebrating her 25th birthday at the stroke of midnight. At the age of twelve, for her French class, Victoria had written a letter to the you... Leer todo",28,la promesse,2000
68,7.9,"['Matthew Nastuk', 'Raymond S. Persi']",-,"A short, B/W music video, featuring the song ""Ghost of Stephen Foster"" by the Squirrel Nut Zippers. After a short intro, in which we see a ""period"", highly stylized old time band playing the intro music, the Fleischer Bros. style animation kicks in. Theme: A young couple check into a hotel, only to find it a seething, writhing hotbed of horrific surrealism. They're d... Leer todo",4,ghost of stephen foster,2000
69,-,George Jesse,Stefan Bayer,"One man, one number, one million dollars, one chance but no answers.",35,hotline,2000
70,6.6,"['Steven Lekowicz', 'David Melito']",Steven Lekowicz,-,-,food code,2000
71,8.5,"['Doug Ten', 'Napel']","['Doug Ten', 'Napel']",This short clay-animated film follows the two titular characters on their mission to intercept a giant robot bent on destroying their town. It doesn't go according to plan.,9,kog-head and meatus,2000
72,7.5,Amy Do,Amy Do,-,-,thirsty,2000
73,7.0,Rómulo Aguillaume,"['Rómulo Aguillaume', 'Guillermo García-Ramos']",-,22,el figurante,2000
74,7.7,Phillip J. Bartell,Phillip J. Bartell,"Tina has a big crush on her new friend, Robbie. But one day, she discovers that he's gay. She is disappointed, but still tries to fix Robbie with his crush, Tim.",27,crush,2000
75,-,"['Wendy Snyder Mac', 'Neil', 'Alice Wingwall']",-,-,-,miss blindsight: the wingwall auditions,2000
76,5.5,Stéphane Derdérian,-,-,7,à bras raccourcis,2000
77,6.4,La Monte Edwards,La Monte Edwards,"After Lee Fuller's sister dies from a drug overdose, he decides that is is time for vengeance. Lee begins to ""take out"" the dealers on route to the top dog, Donovan, and is placed on watch by two detectives. As things get out of hand we begin to learn more and more about this Vigilante.",-,vigilante,2000
78,-,Jan Stastný,Jan Stastný,-,3,dum,2000
79,6.3,Berkeley Breathed,Berkeley Breathed,"Edwurd Fudwupper spends all his time cooking up big fibs. But one day, he tells such a humdinger that the army, the air force and the dog catcher are called to try to reverse the damage wrought. An unlikely heroine comes to his rescue.",7,edwurd fudwupper fibbed big,2000
80,3.3,Philipp Stölzl,Frank Kaminski,-,12,morituri te salutant,2000
81,6.2,Jeff Broadstreet,"['Robert Benson', 'Jeff Broadstreet']",-,25,megalomania,2000
82,6.2,Jeff Lester,"['Jeff Lester', 'Rudy Gaines', 'Billy Bob Thornton']","Around the classic 1800's Western campfire, Slope and Tar tangle about what's been, what will be, and who may or may not survive the first New Age chat in the Old West.",12,the last real cowboys,2000
83,6.6,Hany Tamba,Hany Tamba,-,18,mabrouk again,2000
84,-,Jessica Mitrani,Jessica Mitrani,-,15,rita va al supermercado,2000
85,7.1,"['Bruce Branit', 'Jeremy Hunt']","['Bruce Branit', 'Jeremy Hunt']","A section of a highway is blocked off so that a plane can make an emergency landing on it. However, there are two people still driving on the highway: a man in an SUV and an old lady in a Lincoln.",3,405,2000
86,5.9,Marc-Andre Samson,Marc-Andre Samson,-,25,stargeeks,2000
87,7.5,"['Anita Reilly Mc', 'Gee']","['Anita Reilly Mc', 'Gee']","A woman's calm, relaxed life of tea and books is abruptly halted when new neighbours move in.",7,new neighbours,2000
88,7.5,Brian Sawyer,Brian Sawyer,-,10,"tex, the passive-aggressive gunslinger",2000
89,3.0,Andrew Lowes,Tina Walker,"An elderly couple are conned out of eight and a half thousand pounds by an antiques dealer. When he refuses to give them their money back they extract their revenge by kidnapping his dog, King and holding him to ransom.",20,king's ransom,2000
90,7.3,Eric Jameux,Eric Jameux,"A man phones a hot line to get help beating his video game. However when the police overhear him, things quickly go wrong.",13,faux contact,2000
91,7.0,Mark Limburg,-,-,10,dick and maria,2000
92,6.8,"['Colin Campbell', 'Gail Lerner']","['Colin Campbell', 'Gail Lerner']","Georgia discovers a love note in her garden with the mysterious word ""Seraglio.""",14,seraglio,2000
93,7.7,Jason Doty,Jason Doty,-,1,escape back to the movies,2000
94,8.3,Harry Rob Bruner,Harry Rob Bruner,"In an attempt to escape from his dominating mother, a wimpy janitor searches for ""self expressionism"" and ends up getting addicted to the new-age, personal-growth workshop circuit.",29,the workshop junkie,2000
95,-,John Gillooley,"['John Gillooley', 'Paco Sweetman']",-,10,the box,2000
96,6.6,Natalie Van Doren,Doug Van Doren,"Fred Redding, an assistant at Hollywood agency CMA comes before the board, seeking a promotion, and is refused. He tells us the story of his coworker, Randy Tulane, who didn't just do his time at the agency, but used the system for his own purposes and, ultimately, to help his friend, Fred.",25,the sharktank redemption,2000
97,6.2,Paul Stachniak,Paul Stachniak,"Rival talkshow hosts face off in a pointless, and bloody ratings war.",42,david nelson live,2000
98,-,Lukas Bossuyt,Lukas Bossuyt,-,25,strawberry flavour,2000
99,7.0,"['Dominique Abel', 'Fiona Gordon']","['Dominique Abel', 'Fiona Gordon']",Short and comical film where a man falls in love with a cleaning lady,13,walking on the wild side,2000
100,5.8,Mariko Hoshi,Mariko Hoshi,-,3,"hello, dolly!",2000
101,7.7,"['Timothy Leupp', 'Tom Leupp']","['Timothy Leupp', 'Tom Leupp']",-,-,virgin larry,2000
102,6.0,"['Dan Harris', 'Toby Wilkins']",Paul Sopocy,"The Unbreakable Likeness of Lincoln is a dark fairy tale, in which Snow White and her wicked stepmother are both embodied by one plucky heroine, Nurse Lindy.",8,the unbreakable likeness of lincoln,2000
103,6.1,Guillaume Canet,Guillaume Canet,"After a year of separation, Antoine decides to go to his former girlfriend Julie, as if they had never left. Antoine will do everything to seduce Julie again, despite their breakup.",10,j'peux pas dormir...,2000
104,7.3,Luke Greenfield,"['Luke Greenfield', 'David Scotti']","You all know Bruno...Bruno is a born loser with the ladies. Scoffed and scorned, the only thing Bruno could pick up in a singles' bar is the check! Until now. Now Bruno sees the girl of his dreams and he'll fight all odds to win her - even her lesbian girlfriend. In a 10-minute brawl of hilarity, Bruno finds ""The Right Hook,"" a short film that asks the age-old questio... Leer todo",10,the right hook,2000
105,7.2,Cyrus Helf,"['Cyrus Helf', 'Charlie Grant']","The zitlover must acquire cheese in order to feed the hungry boils that drive him. Unfortunately, a Rambo-esque convenience store clerk stands between him and the pus-growing liquid he desires.",11,zitlover,2000
106,5.5,Matthiew Klinck,"['Paolo Mancini', 'Thomas Michael']","Two foul-mouthed chain-smoking Easter Bunnies get drunk at a strip joint when they are fired from ""Easter Inc.""",15,hank and mike,2000
107,5.2,Andrew Horne,Michael Leunig,-,-,leunig: tricks,2000
108,7.0,John Dilworth,John Dilworth,A man tries to keep his cat from eating the fish he loves.,9,catch of the day,2000
109,-,"['Werther Germondari', 'Maria Laura Spagnoli']","['Werther Germondari', 'Maria Laura Spagnoli']",A man falls for a woman in the underground. But it's going to take a lot of work to get her into bed.,11,triedro,2000
110,-,Allard van der Werff,Allard van der Werff,How fast can things go bad on a blind date?,-,uit!,2000
111,7.2,Peter Carstairs,Peter Carstairs,A whodunnit on a sheepstation.,15,gate,2000
112,6.2,Greg Durbin,"['Greg Durbin', 'Fernando Sorrentino']","Angélica, a Spanish expatriate living in San Diego, visits Tijuana for the first time and discovers the American Immigration Service will not let her return home to San Diego. She is further frustrated because the American Consulate is inexplicably unavailable to help her. While waiting for the consulate, she encounters an itinerate musician, a mute trombonist, who ge... Leer todo",19,boundaries,2000
113,-,Anna Scott,Anna Scott,-,-,cast,2000
114,7.5,Rodrigo Cortés,Rodrigo Cortés,"A mockumentary about a man who survives exclusively on TV shopping, but always returning every product before the 15-day free trial period expires.",30,15 días,2000
115,6.8,"['Claire E. Rojas', 'Andrew Jeffrey Wright']",-,Reflecting on the value of advertisements using an unnamed fashion magazine as an example.,-,the manipulators,2000
116,6.5,O. Perez,O. Perez,-,10,pacifier,2000
117,7.6,Kalman Apple,"['Kalman Apple', 'Anton Chekhov']","Three actors and a director perform Chekhov's The Bear on a New York City bus (actually, a succession of buses, as they keep getting thrown off). The other riders on the final bus get progressively more interested.",28,speed for thespians,2000
118,7.2,"['Robin Feiner', 'Jesse Gibson']","['Robin Feiner', 'Jesse Gibson']",A crazy old man takes to the streets,3,old man,2000
119,-,Jason Margolis,Jason Margolis,-,15,tempting fate,2000
120,8.2,Phil Rosenthal,-,A tongue-in-cheek look at President Clinton's final days in office.,6,the final days,2000
121,6.1,Bill Robinson,Bill Robinson,"How far would you go to get into first class on an airplane? That is the excruciating moral dilemma posed by this short film. Constance Levine, a fragile, yet eerily determined woman who will stop at nothing to obtain the ultimate luxury. A woman shows up at the right place at the wrong time and falls prey to Constance's ruthless, scheming ambitions. Like Holly Goligh... Leer todo",14,the upgrade,2000
122,6.6,Kevin Tempel,"['Krister Brandser', 'Eystein Pedersen', 'Kevin Tempel']",A man is so bored that he becomes a danger to himself and his surroundings.,8,just say no,2000
123,7.7,Carsten Strauch,Carsten Strauch,-,11,das taschenorgan,2000
124,-,Patrick Minks,Patrick Minks,Five couples struggle with their loves & lives.,27,hundred percent,2000
125,8.1,Jasmin Cvisic,"['Jasmin Cvisic', 'Radomir Savic']",-,10,oliver i olivera,2000
126,7.3,Charles Hendley,"['Niels Alzen', 'Charles Hendley']","Can we live a life of total safety, free from all risks? Or is a deathwish lurking within even the most cautious mind?",4,shelf life,2000
127,7.8,Mladen Djordjevic,Mladen Djordjevic,"The ruling tribe of Women from planet Eroticon Six sent an expedition to Earth with a mission: to alter the state of cosmic disorder caused by mankind. And this expedition has landed in Serbia, shaken by the Kosovo war in the eve of NATO bombing.",25,pena za brijanje,2000
128,8.0,Richard K. Kim,"['Richard K. Kim', 'Bryan Oh']","A Sushi Chef offers love advice to his customers, but his advice stinks.",12,talk to taka,2000
129,6.3,Marc-Olivier Picron,"['Laurent Denis', 'Marc-Olivier Picron']",-,11,la télévision,2000
130,-,Javier Grillo-Marxuach,Javier Grillo-Marxuach,"A satirical short film in which the long-suffering characters of a gritty television cop show discover the script for the very episode they are enacting. Faced with unimpeachable proof that their lives are being written for them by the show's unseen and omnipotent creator, the characters must confront issues of fate and free will with absurd consequences.",-,cops on the edge: episode 89,2000
131,7.2,Chris Moeller,-,Simply a computer graphics parody of many science-fiction TV series and movies out there.,5,tripping the rift,2000
132,7.1,"['Reinaldo Pinheiro', 'Edú Ramos']","['Reinaldo Pinheiro', 'Edú Ramos']","This short is a tragic comedy about a poor unemployed worker, and his family, who live in a 'favela' (Brazilian shantytown). He wins a brand new red BMW car and sees his life transformed. His survival, which was already difficult, becomes dramatic and quite extraordinary.",20,bmw vermelho,2000
133,8.9,Douglas Bennett,"['Douglas Bennett', 'Terry Nemeroff']","Four friends survive a crash after the van they're in loses control and careens down a steep ravine in a remote, mountainous area in Utah. Trapped inside and unable to get out of the vehicle, the four must decide which one is going to be supper that night.",-,hungry,2000
134,6.8,Wendy Jo Cohen,Wendy Jo Cohen,"His graffiti is everywhere: TOM LUVS MAEVE 4-EVER. Yet, after a mere 19 years of marriage, Tom wants out. Outraged by this betrayal, the 'gone berserk' Maeve embarks on a mission to cleanse the town of Tom's false declarations of love... by any means necessary.",25,tom luvs maeve 4-ever,2000
135,5.8,David Josué Delgado,-,-,10,noticias para nerds,2000
136,7.4,Daniel Oron,"['Peter Doern', 'Daniel Oron']",An evil landlady discovers the twisted dark truth behind a mysterious voice coming from Roy's apartment.,11,roy,2000
137,8.8,Erez Tadmor,Erez Tadmor,A 32-year-old policeman named Moosh has a crumbling marriage with an absent wife. One night he finds an abandoned baby in an alleyway and must take the child home until Social Services opens. Taking care of the infant brings about a touching reconciliation between husband and wife.,28,moosh,2000
138,-,Juanjo Díaz Polo,Juanjo Díaz Polo,"Juan and Gloria are a happy couple. Enrique is their dear old friend, happily in love with Hindu culture, with vegetarian food, and Gloria.",13,postales de la india,2000
139,6.4,Kurt Koehler,Kurt Koehler,"Join Stonie, Stevie and Sasha on a groovy, techno-color ride into a world of bliss. How long can they wear those rose tinted glasses? Until hunger strikes!",6,super duper,2000
140,5.5,"['Bryan Bantry', 'Dave Diamond']",Dave Diamond,-,16,eventual wife,2000
141,6.1,Alexander Rose,Alexander Rose,A man moves into a new apartment and finds a number of things the previous tenant left behind. He phones the previous tenant and tells him the increasingly strange list.,2,new apartment.,2000
142,8.5,"['D.C. Douglas', 'Reagan Bailey Wilks']",D.C. Douglas,Charlie and Gwen have a secret... They're in love... They're also first cousins. A comedy that examines the origin of America's incorrect notion of biology and it's stigmatizing of kissing cousins.,27,freud and darwin sitting in a tree,2000
143,8.0,Gary Robinson,"['Rainy Kerwin', 'Bru Muller']",-,4,maxwell,2000
144,-,Marija Erceg,Marija Erceg,-,9,musik hat ihn kaputt gemacht,2000
145,7.2,"['Robert Duncan Mc', 'Neill']","['Robert Duncan Mc', 'Neill', 'Patrick Roman Miller']",-,10,9mm of love,2000
146,-,Michael Kenneth Evans,Michael Kenneth Evans,-,6,you'll do,2000
147,7.2,Craig Strachan,Craig Strachan,"When two small time cons break into the home of a judge, they accidentally become involved in a crime more heinous than anything they've ever committed.",13,hidden,2000
148,8.7,Barry Gilbert,Barry Gilbert,"""It's a sweet love story between a brainy, bespectacled lesbian and a punk rocker""",15,her urge,2000
149,7.6,Andrea Mann,Andrea Mann,"In an attempt to reawakening her forgotten sexuality, a woman embarks on an hilarious journey into the world of sexual taboos.",19,xxxposed,2000
150,8.5,Diego Velasco,Diego Velasco,"In this dark, screwball comedy, Gustavo Perez has only a few hours to survive the bureaucracy, get an official stamp on his I. D. and put his military papers in order, or it's the draft and straight to the snipers and the border wars.",24,cedula ciudadano,2000
151,6.1,Bob Leddy Jr.,Bob Leddy Jr.,"Documentary Maker Alfredo Locane is invited by Maury Kubrick, the younger brother of Stanley Kubrick. The unstable Maury wants to tell about his memoirs he is going to publish.",17,a clockwork maury,2000
152,6.2,Josh Copeland,Josh Copeland,"A bunch of students go into the woods to make a ""documentary"" on their town legend, the Bare Hick, a naked hillbilly who runs around in the woods shooting beer cans and blinding people.",11,the bare hick project,2000
153,6.5,David Mackenzie,Bill Chamberlain,Gus and Molly have spent all their money on their only daughter Marcie. Now she's getting married and somebody's going to have to pay....,15,marcie's dowry,2000
154,-,Sidney Brammer,Sidney Brammer,"When four generations of a South Texas family travel to the border to attend their matriarch's funeral, old family secrets resurface, including a long-unresolved love affair between second cousins, one gay and one straight.",30,borderland,2000
155,-,Karine Benaïm,"['Karine Benaïm', 'Philippe Lyon']",-,-,vomi d'amour,2000
156,-,"['Jos de Gruyter', 'Harald Thys']",-,-,40,parallellogram,2000
157,-,James Velasquez,"['Kathleen Mc', 'Innis']",-,6,the byrds,2000
158,7.3,Paul Merton,"['John Irwin', 'Paul Merton', 'Sarah Parkinson']","The story revolves around a husband, wife and dog. The husband's sad, monotonous life gets a little fun when they decide to go to the fair. Whilst he is having fun, his wife and dog turn against him.",12,the suicidal dog,2000
159,6.1,Jeremy Wooding,"['Neil Spencer', 'Jeremy Wooding']",-,20,soul patrol,2000
160,7.9,"['Stefan Prehn', 'Jörg Wagner']","['Jörg Wagner', 'Stefan Prehn']",Short film depicting a fictional educational film about fork lift truck operational safety. The dangers of unsafe operation are presented in gory details.,10,staplerfahrer klaus - der erste arbeitstag,2000
161,-,Peter Roloff,Peter Roloff,"In the year 5627, a group of historians reconstructs an unintentionally comical film about Russian merchant Igor Guzeveyich's journey from Russia to America and Germany in 1899.",22,krasna amerika,2000
162,7.1,Stuart Alexander,Paula Price,-,22,five wishes,2000
163,6.2,Greg Pak,Greg Pak,"Playwright David Henry Hwang talks directly to the camera about race, politics, and ... pornography. He's discovered a way to get past the typical images of Asian porn to positive images of Asian men and women caught on tape: it's ""Asian Pride Porn,"" a videotape Mr. Hwang is pitching. We see excerpts as he talks about smart women and sexually empowered men. He urges h... Leer todo",3,asian pride porn,2000
164,6.8,Sylvie Guérard,Sylvie Guérard,"Short film about the life of yoghurt-cups and other products in a refrigerator, trying to survive long enough to be consumed.",10,yaourts mystiques,2000
