puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
-,Dale Nicholls,Dale Nicholls,"Absurdist dark comedy. A fevered fairy tale in five parts. Sam (Vivian Bang) is having a bad day. Violent haircut, fascist parents, Irish fentanyl dealer, nightmare first date. Sam needs a win.",-,Comedia,bad day sam,2020
-,Brooke Trantor,"['Kate Morgan Chadwick', 'Brooke Trantor']",Jane is on the hunt for a rockin' one-night stand before an impending arrival.,-,Comedia,"oh, baby!",2020
6.0,Julian Acosta,"['Julian Acosta', 'Antonio Macia']",An argument between two families in a thrift store erupts into a full-scale brawl.,8,Comedia,what bitch?,2020
-,Andreas Mortensen,Andreas Mortensen,Benjamin has traveled to the underworld for a chance to see his dead girlfriend again.,9,Comedia,ett hett rum,2020
-,Flora Tennant,Flora Tennant,"Arabella has her eye on Fred which means it's not easy. So when she (and Fred) attend the Tall Man's party, she is self conscious. Afterwards, to make herself feel better, she invites Eve round for her version of a party. And of course it's easy around Eve. So with a wave of self assuredness, she invites Fred round. But again she is self-conscious around him. So Arabe... Leer todo",20,Comedia,we all just want to be mad,2020
-,Stefánia Lovasová,Stefánia Lovasová,Short drama with elements of comedy exposing author's point of view on contemporary communication and relationships issues.,25,Comedia,only plastics and diamonds are forever,2020
-,Jenny Kleiman,Jenny Kleiman,"When an electric outage threatens Landry Family Furniture's ""Going Out of Business"" sale, Martha Landry attempts to reconnect the power and her fractured family.",12,Comedia,sofa queen,2020
-,"['Arkadij Khaet', 'Mickey Paatzsch', 'Katrin Gärtner']",-,"21-year-old Alina is an intern on the set of the scripted reality show 'Madly in Love' and prepared for her first day in pleasant anticipation. But her motivation receives a damper when she witnesses the way has-been director Marc treats his team. Under his rule, abuse of power and sexism are everyday occurrences. When Marc resorts to physical and psychological violen... Leer todo",33,Comedia,alina in wonderland,2020
-,Jaki Bradley,"['Jaki Bradley', 'Jordan Mann']","When impulsive Callen agrees to donate her eggs to her perfect big sis, she thinks she's gaining the world-free rent, sick apartment, and cash in hand. But in her new life nothing is her own, not even her body. The Big Ask looks at the rules of consent when you're renting out your body for a cause.",-,Comedia,the big ask,2020
-,Magdalena Lauritsch,Magdalena Lauritsch,"In his job, delivery boy Karim meets Brigitte, a customer who wants to live out her power status on him. Afraid to lose his job, he must play along with her perfidious game. When her mother, who is suffering from Alzheimer`s disease, joins in as well, the situation plunges into complete chaos.",19,Comedia,we deliver a smile,2020
5.6,Valentin Merz,"['Valentin Merz', 'Claude Muret']","Louis is spending the summer in his boyfriend Paul's family house, hidden in the depths of the French countryside. It is very hot, the house is empty and the two lovers are alone. They make love, play, go for walks, make love again and sleep, at night and sometimes during the day. But Paul, whose mother has just died, is tired and nervous. Meanwhile, Louis has started... Leer todo",19,Comedia,dream on,2020
5.5,Kim Tran,Kim Tran,"A young woman is caught in a lie by her suspicious mom. With tensions already high from recently losing a loved one, their relationship unhinges.",9,Comedia,zoe and hanh,2020
10.0,Ronald Baez,Ronald Baez,"Longtime Instagram penpals Jean and Nina meet in person for the first time, re-defining their relationship as they stumbling through a deceptive, although well-meaning dinner with Nina's ultra-conservative father.",13,Comedia,a postcard to nina,2020
6.8,"['Evan Johnson', 'Galen Johnson', 'Guy Maddin']","['Evan Johnson', 'Galen Johnson', 'Guy Maddin']","He works at the fairground as ""Stump the Guesser"", who can guess anything for a fee. But suddenly his tricks stop working. And then he unwittingly falls in love with his sister whom he believed to be lost. He sets out to scientifically disprove the theory of heredity and marry his beloved as soon as possible. An absurdist firework of a silent film in black and white.",19,Comedia,stump the guesser,2020
7.2,Lorena Lourenço,"['Lorena Lourenço', 'Jorge Molina']",-,13,Comedia,muy gay too mexicano,2020
-,Liviu Monsted,Liviu Monsted,A darkly comic examination of one man's particularly serious existential midlife crisis.,12,Comedia,how to quit,2020
-,Neal E. Fischer,"['Neal E. Fischer', 'Justin Shady']",A housewarming gift temporarily strains the relationship of two newlyweds.,-,Comedia,mystery flavor,2020
-,Dame Pierre II,Ciera Angelia,"After a terrible breakup, three Sworn Enemies party hard with high hopes of inspiring their mutual friend.",16,Comedia,"the nun, the witch and the bloodsucker",2020
-,Daniel Jeffery,"['Zack Hamm', 'Daniel Jeffery', 'Mackenzie Warner']","After one too many rage-filled outbursts, a magical talking dog named Basketball must talk his owner, Frank, out of having him put down.",12,Comedia,a new leash on life,2020
7.0,Sigurd Culhane,"['Chris Valdez', 'Patrick Tamisiea']","With help of Russian mob clients, The Green Cobra details her rise as a ""Life Ending Technician,"" on the backdrop of a poor soul's final hours.",14,Comedia,green cobra,2020
7.0,Kevan Peterson,Steve Martin,A woman goes into a shoe store to try - the cruel shoes. (Retained in the Academy Film Archive's collection. Available for reference and/or research in the Margaret Herrick Library).,-,Comedia,cruel shoes,2020
-,Scott Bovelander,Scott Bovelander,When Benjamin has to kill a prostitute everything goes terribly wrong.,-,Comedia,underdog days,2020
-,Bryan Burton,"['Bryan Burton', 'Robert Gongora', 'Edison Hong']","A short film musical comedy set between the worlds of fandom and pop culture, PUSH THE POINT follows four online gamers through their squad-based mission. Harder than defeating the red team, however, is sticking together while trying to navigate toxicity, super-fandom, and the futility of having an argument on the internet.",8,Comedia,push the point,2020
8.5,Holt Boggs,Holt Boggs,"An insecure mob boss enlists the help of an eccentric hit man to 'take out' his girlfriend's lover who he presumes to have a significantly larger penis. The only problem is, it's almost 4:00.",10,Comedia,crazy,2020
8.9,Gina Marie Rodriguez,Gina Marie Rodriguez,Seeing a therapist is hard. Breaking up with one is harder.,8,Comedia,cruel and unusual therapy,2020
6.6,"['Skyler Caleb', 'Daniel Weiss']",Skyler Caleb,"Scott is hoping for a relaxing weekend, but finds his friends exhibiting bizarre behavior that is either an endless prank or something more disturbing.",10,Comedia,wrightwood,2020
-,Rodrigo Baumgartner Ayres,Rodrigo Baumgartner Ayres,"When an incompetent boutique owner who steals jewelry to keep her business afloat is assaulted by one of her victims, she considers marrying for money to save her finances.",-,Comedia,gold and girl,2020
-,Alex Hluch,Jim Lincoln,-,-,Comedia,the plane truth,2020
-,Kris Atkins,Kris Atkins,A young couple search for a reasonably sized flat at an affordable price. within a difficult Auckland renting market.,-,Comedia,renters,2020
-,Jose Maria Carrizo,Jose Maria Carrizo,"When the family dog dies, Pancho the only child tries to arrange a proper burial, only to realise that all his efforts won't make anyone happy, but his mother.",-,Comedia,fiambre,2020
-,Nicole Gomez Fisher,"['Nicole Gomez Fisher', 'Bj Gruber', 'Riley Thomas']","A ""woke"" super hero is hired to teach a sexual harassment seminar. His hubris and ignorance lead to shocking yet hilarious misinformation. The women of the office teach him a lesson in return.",8,Comedia,wokeman: women in the workplace,2020
-,Josh Brandon,Josh Brandon,-,-,Comedia,alexa,2020
-,Justin Lewis,"['Wyatt Daane', 'Justin Lewis', 'Katie Mc', 'Donald']","An arrogant young man tries to fake his own death to break up with his girlfriend, but his soon-to-be-ex keeps foiling his plans.",10,Comedia,the end,2020
-,"['Larry Bain', 'Craig Olejnik']","['Larry Bain', 'Craig Olejnik']",A dark comedy about an animal controller that's had enough of his innocent furry friends being killed.,-,Comedia,road kill renegade,2020
-,Stephen Province,Jessica Stamper,-,-,Comedia,f.m. live,2020
-,Michaela Wadzinski,"['Ethan Grafton', 'Michaela Wadzinski']","Kaja Powlaski has closed herself off from the world. Taking solace only in her love for photography. When her elderly neighbor Amelia arrives at her doorstep with a film camera and a script, Kaja must decide to exit her comfort zone and try something new. However, feelings of inadequacy and embarrassment may hold her back.",13,Comedia,1995,2020
5.0,Joe Pezzula,Joe Pezzula,"Betty is fighting a hangover. In between morning sips of wine, she finds herself entangled with three strangers claiming to be time travelers. As the travelers work to fix their malfunctioning gear, Betty talks up her own problems and works through her own life malfunctions.",17,Comedia,"have wine, will travel",2020
-,"['Conor Casey', 'Rebeccah Love']","['Conor Casey', 'Rebeccah Love']","A woman must decide between having a kid or her dream job, after a medical diagnosis gives her partner a small amount of time before he is infertile.",13,Comedia,ripe,2020
6.2,Archie Chew,"['Archie Chew', 'Alicia Easaw-Mamutil', 'Sam Herriman']","Precocious 12-year-old SKYE WINTER spends all of her time in her hometown of, Collector making out with her schoolgirl crush, GREGORY GREGORY JR. However, there is a new technology that is taking her town by a storm called, Sustainatent. A hermetically sealable tent that is permanently installed over a family's home to protect them from a rising toxicity in the Earth'... Leer todo",-,Comedia,"the end, the beginning",2020
-,Andreas Graf,"['Andreas Graf', 'Joe Bartone']","After a date gone wrong strands Diego without his clothes, he must race against time to make it to a very important engagement.",-,Comedia,pink bike,2020
-,Kathrine Kastholm Vimpel,Kathrine Kastholm Vimpel,"As they prepare for their engagement party, Mille and Bertram aren't agreeing on the details. Their bickering intensifies to expose a desperate need to appear like the perfect couple.",-,Comedia,forestillingen om vi,2020
-,Gaurav Bhat,"['Ashish Bhatia', 'Meghana Kaushik', 'Aman Khan']","A Satire about how actors are exploited , by making then work for (less than) peanuts .",-,Comedia,budget dus hazaar,2020
-,"['Pat Moriarity', 'Seth Zeichner']",Garret Shanley,"Two teenage brothers find themselves in the middle of the woods on their first day of work at an isolated pizzeria, where things are not what they seem to be. They find themselves in the realm beyond reason.",8,Comedia,the realm beyond reason,2020
-,Jack Allen,Jack Allen,"A world-renowned, professional fly killer, named Carl, is on the cusp of finalising his latest and most powerful invention; a machine that, with a single pulse, will annihilate every single fly on this world. Whilst testing its efficacy within the limited range of his workshop, a single fly miraculously survives the death pulse. Adamant that his machine not be undermi... Leer todo",12,Comedia,flit,2020
-,Sidney Berthier,Dan Haycock,"When Richard Marlow buys a taxidermy hare from an old antiques shop, he inadvertently draws the attentions of a sinister Russian warlock - on the very weekend his girlfriend's mother is coming to stay.",13,Comedia,koschei the deathless,2020
-,Andreas Bøggild Monies,Andreas Bøggild Monies,-,15,Comedia,the train ride,2020
8.3,Steve Herold,"['Steve Herold', 'James L. Palmer']",Rick and Vivian O'Neil struggle with a very unique challenge to their marriage.,10,Comedia,waimea,2020
-,Peter Ambrosio,Bilal Mir,The sudden and inexplicable appearance of a hat pits two friends against each other with irreversible consequences.,-,Comedia,the hat,2020
6.4,Eliott Fettweis,"['Eliott Fettweis', 'Paul Dexemple']","Maurice and Julienne are expecting their first child. But the day of the delivery, Julienne gives birth to a broccoli.",19,Comedia,brocoli,2020
9.7,John Altobello III,Lee Barron,-,-,Comedia,cagney and hooch,2020
-,Ravi Steve,-,Two brothers attempt to hire a hitman to euthanize their sick mother.,7,Comedia,you hired a hitman,2020
-,Roy Assaf,"['Roy Assaf', 'Noa Mordovitch', 'Tali Regev']",Demagogy is a short film (one shot) about the demagogy of our leaders... 10 minutes. DCP,10,Comedia,demagogy,2020
9.9,Ioannis Makro,Ioannis Makro,"An 11-year-old kid with two countries origin who faces violence in both of them when he attempts to play with his peers, decides to write a letter to Liverpool F.C., asking to play for them!",17,Comedia,the outcast kid,2020
-,Allison Bergman,Marcelle Sirkus,"Mrs. Rice was looking forward to moving her mother-in-law out of the house and into her own small apartment out back. But the city permits for the renovation have been denied, thanks to a mysterious discovery on the rooftop of her garage.",-,Comedia,gastropod,2020
-,Andrew Broadhurst,Andrew Broadhurst,A graphic designer is micromanaged to the point of killing her overbearing manager.,10,Comedia,death by powerpoint,2020
-,-,-,-,-,Comedia,to hollywood with love,2020
-,Will Hunter Thomas,David Jon Banks,When two Mormon Missionaries accidentally kill a potential convert they have to prove how dedicated they are to the Lord.,19,Comedia,killer missionaries,2020
-,Melanie M. Jones,Justin Anthony,"In the aftermath of a onesie-themed party, a still-drunk Sloane makes a horrible discovery: her brother Tyler's dead body. That's not the worst of it - when Tyler's ghost appears with a macabre final request, Sloane struggles to deal with both Tyler's heckling and her growing hangover while coming to terms with his unexpected death.",10,Comedia,death of the party,2020
-,Lewis Mulholland,"['Lewis Mulholland', 'David Todman']",-,-,Comedia,where to bury me,2020
-,Fernando Gutierrez Estudillo,Fernando Gutierrez Estudillo,Two friends experience the last day of high school before one goes to live in New York.,10,Comedia,hasta cuando,2020
-,Anthony Bradford,Anthony Bradford,A man with social anxiety attempts to order pizza over the phone at the risk of having a nervous breakdown.,10,Comedia,call waiting,2020
-,Trent Bruce,Taylor Sade,"A single, depressed man who works from home copes with the death of his dog while neglecting a deadline at his job and any communication with the outside world.",23,Comedia,telecommuter,2020
-,Conall Pendergast,Conall Pendergast,"Odysseus wants the Cyclops to stop eating his crew, but the Cyclops really, really loves eating people. Can these two contrarians somehow meet in the middle?",3,Comedia,the cyclops diet,2020
6.9,Jessica Huras,Jessica Huras,-,10,Comedia,bing! bang! bi!,2020
7.2,Daniel Findlay,Jake Palas,"What if after meeting ""one"", you get to know what happens before you commit?",-,Comedia,attorneys at love,2020
-,Stacy Jill Calvert,Stacy Jill Calvert,"The Bra Mitzvah is a comedic short about growing into adulthood, one bra at a time.",9,Comedia,the bra mitzvah,2020
-,Drake Dalgleish,Drake Dalgleish,"5 friends take a weekend trip to a cabin in the woods. - You've heard this before right? Well this time we're gonna have some new fun with jokes, fights, fun characters you wish won't die in this one.",25,Comedia,another cabin massacre,2020
-,"['Marissa Hall', 'Ben Sharples']",Ben Sharples,A woman receives a gift from a jealous ex-boyfriend that threatens to derail her new marriage.,10,Comedia,a perfect husband,2020
-,"['Korey Mc', 'Isaac']","['Korey Mc', 'Isaac']","Kelly and Josh are planning to attend a celebrity-filled Halloween party, only to be delayed by an untimely kidney stone. Will they make it to the party?",12,Comedia,push harder,2020
7.1,Alfonso Díaz,Alfonso Díaz,-,-,Comedia,acto reflejo,2020
-,Paul Daisuke Goodman,Paul Daisuke Goodman,A retired pilot tries to ignore the monstrous space station that has fixed itself in orbit 300 miles above his homestead only to be stirred to action when a piece of it leaves a crater in his yard.,12,Comedia,leafer,2020
-,Karynn Greene,Karynn Greene,"A coming of age story centered on the curious Indiyah as she navigates love and lust with the help of her closest friends, the distant guidance of her mother, and her infatuation with art.",40,Comedia,strings,2020
-,Zay Rodriguez,Zay Rodriguez,Two best friends make the fatal mistake of crashing into a car. They encounter a deranged woman with anger issues and malicious intentions on a Saturday the 14th.,25,Comedia,saturday the 14th,2020
-,Lucas Rowi,Lucas Rowi,"Jobless and living with her ex-boyfriend, Catalina lives her life one step at a time.",-,Comedia,vacaciones involuntarias,2020
-,-,-,"After dipping out on a charity race they signed up for, two friends go out of their way to raise money for a local hospital.",13,Comedia,charity case,2020
-,"['Joe Anderson', 'Nadine Vincent']","['Joe Anderson', 'Paul Campa']","A directionless cover-band is given the opportunity of a lifetime by being offered a record deal, contingent on their ability to create a wholly original EP in 5 days.",10,Comedia,portrait of a rocker: b-side,2020
-,J.D. Ramsey,J.D. Ramsey,Terrance is curious about the dating app service. Terrance downloads the dating app service on his phone and starts to looking for that perfect love. Things go suddenly crazy when Terrance goes a week of unexpected adventures.,37,Comedia,lookin4love,2020
-,Viktor Miletic,Viktor Miletic,"Sandra asks Hercules to watch her suitcase while she's away for a summer internship. Hercules accepts and believes that when she's back they will be together. That night, Nat, Hercule's best friend, meets a women in a bar. But she only has eyes for Hercules.",33,Comedia,nique verlaine,2020
7.1,Francy Fabritz,Francy Fabritz,Two women are kidnapping a dubious right-wing politician by elegantly stealing his car with him caught in the boot. What seems like a supposedly harmless ride at first glance turns into a plan of revenge.,8,Comedia,revolvo,2020
-,Emily Woodworth,"['Emily Woodworth', 'Nathan Woodworth']","Prison escapee Jackie confronts his sister Jill about their hidden loot, which she has buried somewhere in the forests of Oregon. Meanwhile, Tom P. Bellbottoms shoots a documentary about the inventor of the purse.",14,Comedia,the purse: a dream in two acts,2020
-,Joel Salaysay,Joel Salaysay,-,17,Comedia,home cooking,2020
6.8,Myriam Guimond,Myriam Guimond,"-Summer 1999. Four sisters have only one idea in mind: to act. From this sexual awakening, they become aware of the seductive power of their bodies, but especially of their painful universal solitude.",19,Comedia,all about girls,2020
-,Ace Hicks,Ace Hicks,"Grace and James, an indie punk rock duo from Canada have big plans for their upcoming album, but even bigger news is on the way.",10,Comedia,take care of me,2020
-,Jeanne Alamercery,Jeanne Alamercery,"Faced with a hostile environment, Cleo hopes Jonas will know how to protect her from danger.",27,Comedia,balnéothérapie,2020
-,Jim Allison,Jim Allison,"A poor prospector who stumbles upon extreme wealth, finds out quickly - grand riches may sometimes complicate things.",-,Comedia,"fools, gold",2020
-,Moh Azima,Moh Azima,"A couple gets away for a special weekend but when things start to get a little spooky, the cracks in their relationship start to show.",10,Comedia,hbdtm,2020
-,Michael Tota,Michael Tota,An older man and his young friend sit on the porch and attempt to have a conversation about life and love in the age of technology,-,Comedia,misconnected,2020
-,-,Mark Needle,Three coworkers discuss their eating habits.,-,Comedia,orthorexia,2020
9.0,"['Zach King', 'Sam Wickert']",Morgan Koetting,A short film parody of one of the classic films of the 80's - Ferris Bueller's Day Off.,7,Comedia,zach king's day off,2020
-,Aziz Twaijri,Travis Lavar Foster,"Edmond, an office loner, who gets the surprise of his life by having a genie appearing out of nowhere to grant him any wish he desires. However, Edmond has a surprise of his own by requesting a peculiar wish from the genie.",-,Comedia,rafeeq like me,2020
-,Julia Dumendiak,Julia Dumendiak,A hobby painter's arts opening turns into a strange event.,8,Comedia,vernissage,2020
-,"['Austin Mc', 'Euen']","['Austin Mc', 'Euen']","An explicit live-action horror/comedy adaptation of The Hash-Slinging Slasher. Based on ""Graveyard Shift"" S2, EP16 from Spongebob Squarepants.",12,Comedia,the hash-slinging slasher,2020
-,-,Quanteus Johnson,-,-,Comedia,the queen of tacoburger,2020
-,Paul J. Vogel,Paul J. Vogel,A fading superhero struggles to balance quiet suburban life with his unwillingness to let go of the past.,-,Comedia,phantom spectre,2020
-,Mark Reeb,"['Jennifer Harlow', 'Mark Reeb']",-,-,Comedia,wiggle,2020
-,Maximiliano Sotomayor,"['Constanza Luzoro', 'Maximiliano Sotomayor']","Helena (75) is forced to rent the apartment she shared with her friend Clarita (85), who has just passed away. Then comes Kat (25), a girl who raises Helena's distrust. After a discussion in which the old woman throws the young woman out, they both end up helping Santiago (74), a neighbor with senile dementia. After understanding the way in which Kat faces life, the o... Leer todo",29,Comedia,a tale of two women,2020
-,Anthony Campuzano,Anthony Campuzano,-,8,Comedia,i heart lilly,2020
6.6,Marco Baldonado,"['Marco Baldonado', 'Walter Woodman']","Rosa Forlano, a 90 year old Nonna, falls in love with a robot while teaching it how to make spaghetti. Unfortunately, her family recipe is erased by a software update. Rosa is the real life Nonna of filmmaker Marco Baldonado. TOTO is an ode to her traditions but is also a warning signal about losing these traditions in times to come. TOTO is a bittersweet sci-fi story... Leer todo",13,Comedia,toto,2020
5.0,Fan Popo,Fan Popo,"an ""anti-romantic comedy"" in Berlin.",17,Comedia,beer! beer!,2020
8.5,"['Angus Kittler Reid', 'Austin Rice']","['Austin Rice', 'Alex Passino']",Lil' Balzac unwittingly agrees to be the getaway driver for a rugged bank heist crew.,42,Comedia,lil' balzac 2,2020
7.7,Erin Brown Thomas,"['Erin Brown Thomas', 'Kelly Vrooman']","Vicki idolizes her new girlfriend Samantha, but draws the line when it comes to her time on the porcelain throne. Their small bathroom gets awkward when Samatha challenges Vicki's definition of intimacy.",9,Comedia,feeling flush,2020
5.7,Lilan Bowden,Ed Lee,"12-year old Yong just wants to be liked by his mostly-white classmates, so when he makes the wish to be just like America's favorite foul-mouthed comedian, he gets his wish but not in the way anyone expected.",16,Comedia,becoming eddie,2020
-,Alex Ditsas,"['Alex Ditsas', 'Peter Kontara']","After 200 years, an incompetent demon returns to earth in search of a soul to bring back to the underworld, when he encounters two unimpressed video store clerks who guide him on his mission.",14,Comedia,soulless,2020
7.8,"['Austin Bragg', 'Meredith Bragg']","['Austin Bragg', 'Meredith Bragg']","A California father turns to illicit means to get dragées for his daughter's birthday cake after discovering that the bite-sized silver confections are banned in the state. Written by MPI filmmakers Meredith and Austin Bragg, this script was developed in MPI's Concept Development workshop. A Piece of Cake is a Moving Picture Institute original short.",12,Comedia,a piece of cake,2020
-,Dani Medina,-,-,-,Comedia,el borracho: el vino viejo es el más peleón,2020
9.1,Fred Shahadi,Fred Shahadi,Two desperate guys battle wits with a big name Hollywood producer in a pitch meeting gone wrong.,8,Comedia,two out-of-work actors,2020
-,Mack Ogden,Mack Ogden,"Britni thinks she's going on a totally normal first date with Stryker, but unfortunately the date includes a few others.",-,Comedia,red flags,2020
-,"['Adam Bastin', 'Morgan Orme']","['Matthew D. Gilpin', 'Brandon Shears']","Robert, a young cocky criminal associate is sent to extort a new man in the neighborhood.",24,Comedia,killer revelations,2020
-,Ermir M. B.,Rachael Thompson,-,-,Comedia,i love you moocho,2020
-,"['Charles Kinnane', 'Daniel Kinnane']","['John Kinnane', 'Patrick Kinnane', 'Brendan Kinnane']",-,-,Comedia,rigor mortis,2020
-,Faith Strongheart,Heather L. Tyler,"Something is wrong with Harley. She can't connect with the other moms-to-be, who seem to have it all together. She drifts off in group classes, escaping in underwater adventures and carnivals, dancing away the absurdity of modern motherhood and all its trendy how-to's. Once the baby comes, things don't improve as life overwhelms her . . . She has a beautiful baby, a l... Leer todo",-,Comedia,postpartumm...,2020
-,Anas Fairaq,-,-,-,Comedia,the fortune of grandma ruby,2020
6.7,Pablo Riesgo,Pablo Riesgo,1974. Three Spanish guys are in the USA for the first time to go to Las Vegas. When they are on their way in the middle of the desert they decide to pick up a hitchhiker and things get messy.,15,Comedia,tiro dominical,2020
-,Natasha Kachine,Natasha Kachine,-,-,Comedia,sleight of hand,2020
